Sample,File,Animal,Species,Population,Diet,Tissue,Sex
W549_S93_L003,W549_S93_L003.counts.tsv,W549,N_bryanti,Erskine_Creek,RHCA,L,M
W549_SI_S65,W549_SI_S65.counts.tsv,W549,N_bryanti,Erskine_Creek,RHCA,SI,M
W550_C_S23,W550_C_S23.counts.tsv,W550,N_bryanti,Erskine_Creek,PRFA,C,F
W550_FG_S39,W550_FG_S39.counts.tsv,W550,N_bryanti,Erskine_Creek,PRFA,FG,F
W550_S95_L003,W550_S95_L003.counts.tsv,W550,N_bryanti,Erskine_Creek,PRFA,L,F
W550_SI_S50,W550_SI_S50.counts.tsv,W550,N_bryanti,Erskine_Creek,PRFA,SI,F
W551_C_S22,W551_C_S22.counts.tsv,W551,N_bryanti,Erskine_Creek,RHCA,C,F
W551_FG_S76,W551_FG_S76.counts.tsv,W551,N_bryanti,Erskine_Creek,RHCA,FG,F
W551_S117_L003,W551_S117_L003.counts.tsv,W551,N_bryanti,Erskine_Creek,RHCA,L,F
W551_SI_S54,W551_SI_S54.counts.tsv,W551,N_bryanti,Erskine_Creek,RHCA,SI,F
W552_C_S25,W552_C_S25.counts.tsv,W552,N_bryanti,Erskine_Creek,PRFA,C,M
W552_FG_S71,W552_FG_S71.counts.tsv,W552,N_bryanti,Erskine_Creek,PRFA,FG,M
W552_S96_L003,W552_S96_L003.counts.tsv,W552,N_bryanti,Erskine_Creek,PRFA,L,M
W552_SI_S64,W552_SI_S64.counts.tsv,W552,N_bryanti,Erskine_Creek,PRFA,SI,M
W554_C_S24,W554_C_S24.counts.tsv,W554,N_bryanti,Erskine_Creek,PRFA,C,F
W554_FG_S70,W554_FG_S70.counts.tsv,W554,N_bryanti,Erskine_Creek,PRFA,FG,F
W554_S118_L003,W554_S118_L003.counts.tsv,W554,N_bryanti,Erskine_Creek,PRFA,L,F
W554_SI_S45,W554_SI_S45.counts.tsv,W554,N_bryanti,Erskine_Creek,PRFA,SI,F
W614_C_S26,W614_C_S26.counts.tsv,W614,N_lepida,Pine_Tree_cyn,RHCA,C,M
W614_FG_S82,W614_FG_S82.counts.tsv,W614,N_lepida,Pine_Tree_cyn,RHCA,FG,M
W614_S119_L003,W614_S119_L003.counts.tsv,W614,N_lepida,Pine_Tree_cyn,RHCA,L,M
W614_SI_S68,W614_SI_S68.counts.tsv,W614,N_lepida,Pine_Tree_cyn,RHCA,SI,M
W615_C_S28,W615_C_S28.counts.tsv,W615,N_lepida,Pine_Tree_cyn,RHCA,C,F
W615_FG_S36,W615_FG_S36.counts.tsv,W615,N_lepida,Pine_Tree_cyn,RHCA,FG,F
W615_S94_L003,W615_S94_L003.counts.tsv,W615,N_lepida,Pine_Tree_cyn,RHCA,L,F
W615_SI_S46,W615_SI_S46.counts.tsv,W615,N_lepida,Pine_Tree_cyn,RHCA,SI,F
W616_C_S29,W616_C_S29.counts.tsv,W616,N_lepida,Cameron_Rd,PRFA,C,F
W616_FG_S81,W616_FG_S81.counts.tsv,W616,N_lepida,Cameron_Rd,PRFA,FG,F
W616_S97_L003,W616_S97_L003.counts.tsv,W616,N_lepida,Cameron_Rd,PRFA,L,F
W616_SI_S56,W616_SI_S56.counts.tsv,W616,N_lepida,Cameron_Rd,PRFA,SI,F
W617_C_S27,W617_C_S27.counts.tsv,W617,N_lepida,Cameron_Rd,PRFA,C,F
W617_FG_S34,W617_FG_S34.counts.tsv,W617,N_lepida,Cameron_Rd,PRFA,FG,F
W617_S121_L003,W617_S121_L003.counts.tsv,W617,N_lepida,Cameron_Rd,PRFA,L,F
W617_SI_S85,W617_SI_S85.counts.tsv,W617,N_lepida,Cameron_Rd,PRFA,SI,F
