Name	gene_id
NBRY_AARS2_0001	Aars2
NBRY_AARSD1_0001	Aarsd1
NBRY_AASDHPPT_0001	Aasdhppt
NBRY_AASDH_0001	Aasdh
NBRY_AASS_0001	Aass
NBRY_AATF_0001	Aatf
NBRY_AATK_0001	Aatk
NBRY_AB124611_0001	AB124611
NBRY_ABAT_0001	Abat
NBRY_ABCA12_0001	Abca12
NBRY_ABCA13_0001	Abca13
NBRY_ABCA14_0001	Abca14
NBRY_ABCA15_0001	Abca15
NBRY_ABCA16_0001	Abca16
NBRY_ABCA17_0001	Abca17
NBRY_ABCA1_0001	Abca1
NBRY_ABCA2_0001	Abca2
NBRY_ABCA3_0001	Abca3
NBRY_ABCA4_0001	Abca4
NBRY_ABCA5_0001	Abca5
NBRY_ABCA6_0001	Abca6
NBRY_ABCA7_0001	Abca7
NBRY_ABCA8A_0001	Abca8a
NBRY_ABCA9_0001	Abca9
NBRY_ABCB10_0001	Abcb10
NBRY_ABCB11_0001	Abcb11
NBRY_ABCB1_0001	Abcb1
NBRY_ABCB1_0002	Abcb1
NBRY_ABCB2_0001	Abcb2
NBRY_ABCB3_0001	Abcb3
NBRY_ABCB3_0002	Abcb3
NBRY_ABCB4_0001	Abcb4
NBRY_ABCB5_0001	Abcb5
NBRY_ABCB6_0001	Abcb6
NBRY_ABCB7_0001	Abcb7
NBRY_ABCB8_0001	Abcb8
NBRY_ABCB9_0001	Abcb9
NBRY_ABCC10_0001	Abcc10
NBRY_ABCC12_0001	Abcc12
NBRY_ABCC1_0001	Abcc1
NBRY_ABCC2_0001	Abcc2
NBRY_ABCC3_0001	Abcc3
NBRY_ABCC4_0001	Abcc4
NBRY_ABCC5_0001	Abcc5
NBRY_ABCC6_0001	Abcc6
NBRY_ABCC7_0001	Abcc7
NBRY_ABCC8_0001	Abcc8
NBRY_ABCC9_0001	Abcc9
NBRY_ABCD1_0001	Abcd1
NBRY_ABCD2_0001	Abcd2
NBRY_ABCD3_0001	Abcd3
NBRY_ABCD4_0001	Abcd4
NBRY_ABCE1_0001	Abce1
NBRY_ABCF1_0001	Abcf1
NBRY_ABCF2_0001	Abcf2
NBRY_ABCF3_0001	Abcf3
NBRY_ABCG1_0001	Abcg1
NBRY_ABCG2_0001	Abcg2
NBRY_ABCG3_0001	Abcg3
NBRY_ABCG3_0002	Abcg3
NBRY_ABCG3_0003	Abcg3
NBRY_ABCG3_0004	Abcg3
NBRY_ABCG3_0005	Abcg3
NBRY_ABCG3_0006	Abcg3
NBRY_ABCG3_0007	Abcg3
NBRY_ABCG3_0008	Abcg3
NBRY_ABCG3_0009	Abcg3
NBRY_ABCG3_0010	Abcg3
NBRY_ABCG3_0011	Abcg3
NBRY_ABCG3_0012	Abcg3
NBRY_ABCG3_0013	Abcg3
NBRY_ABCG3_0014	Abcg3
NBRY_ABCG4_0001	Abcg4
NBRY_ABCG5_0001	Abcg5
NBRY_ABCG8_0001	Abcg8
NBRY_ABHD10_0001	Abhd10
NBRY_ABHD11_0001	Abhd11
NBRY_ABHD12B_0001	Abhd12b
NBRY_ABHD12_0001	Abhd12
NBRY_ABHD13_0001	Abhd13
NBRY_ABHD14A_0001	Abhd14a
NBRY_ABHD14B_0001	Abhd14b
NBRY_ABHD15_0001	Abhd15
NBRY_ABHD16A_0001	Abhd16a
NBRY_ABHD16B_0001	Abhd16b
NBRY_ABHD17A_0001	Abhd17a
NBRY_ABHD17B_0001	Abhd17b
NBRY_ABHD17C_0001	Abhd17c
NBRY_ABHD18_0001	Abhd18
NBRY_ABHD1_0001	Abhd1
NBRY_ABHD2_0001	Abhd2
NBRY_ABHD3_0001	Abhd3
NBRY_ABHD4_0001	Abhd4
NBRY_ABHD5_0001	Abhd5
NBRY_ABHD6_0001	Abhd6
NBRY_ABHD8_0001	Abhd8
NBRY_ABI1_0001	Abi1
NBRY_ABI1_0002	Abi1
NBRY_ABI2_0001	Abi2
NBRY_ABI3BP_0001	Abi3bp
NBRY_ABI3_0001	Abi3
NBRY_ABITRAM_0001	Abitram
NBRY_ABL1_0001	Abl1
NBRY_ABL2_0001	Abl2
NBRY_ABLIM1_0001	Ablim1
NBRY_ABLIM2_0001	Ablim2
NBRY_ABLIM3_0001	Ablim3
NBRY_ABO_0001	Abo
NBRY_ABO_0002	Abo
NBRY_ABO_0003	Abo
NBRY_ABO_0004	Abo
NBRY_ABO_0005	Abo
NBRY_ABO_0006	Abo
NBRY_ABRACL_0001	Abracl
NBRY_ABRAXAS1_0001	Abraxas1
NBRY_ABRAXAS2_0001	Abraxas2
NBRY_ABRA_0001	Abra
NBRY_ABR_0001	Abr
NBRY_ABR_0002	Abr
NBRY_ABR_0003	Abr
NBRY_ABT1_0001	Abt1
NBRY_ABTB1_0001	Abtb1
NBRY_ABTB2_0001	Abtb2
NBRY_ABTB2_0002	Abtb2
NBRY_ABTB2_0003	Abtb2
NBRY_ABTB2_0004	Abtb2
NBRY_ABTB2_0005	Abtb2
NBRY_ABTB2_0006	Abtb2
NBRY_ABTB2_0007	Abtb2
NBRY_ABTB2_0008	Abtb2
NBRY_ABTB2_0009	Abtb2
NBRY_ABTB2_0010	Abtb2
NBRY_ABTB2_0011	Abtb2
NBRY_ABTB2_0012	Abtb2
NBRY_ABTB2_0013	Abtb2
NBRY_ABTB2_0014	Abtb2
NBRY_ABTB2_0015	Abtb2
NBRY_ABTB2_0016	Abtb2
NBRY_ABTB2_0017	Abtb2
NBRY_ABTB2_0018	Abtb2
NBRY_ABTB2_0019	Abtb2
NBRY_ABTB2_0020	Abtb2
NBRY_ABTB2_0021	Abtb2
NBRY_ABTB2_0022	Abtb2
NBRY_ABTB2_0023	Abtb2
NBRY_ABTB2_0024	Abtb2
